ID,Treatment,Day_Pupation
914,Reintroduced Community,20
917,Reintroduced Community,15
918,Reintroduced Community,16
919,Reintroduced Community,16
920,Reintroduced Community,17
921,Reintroduced Community,17
922,Reintroduced Community,20
923,Reintroduced Community,21
927,Reintroduced Community,15
928,Reintroduced Community,15
929,Reintroduced Community,16
930,Reintroduced Community,18
931,Reintroduced Community,21
937,Reintroduced Community,15
938,Reintroduced Community,17
939,Reintroduced Community,17
940,Reintroduced Community,18
941,Reintroduced Community,20
942,Reintroduced Community,20
947,Reintroduced Community,16
948,Reintroduced Community,17
949,Reintroduced Community,18
950,Reintroduced Community,20
951,Reintroduced Community,20
956,Reintroduced Community,16
957,Reintroduced Community,16
958,Reintroduced Community,16
959,Reintroduced Community,17
960,Reintroduced Community,20
961,Reintroduced Community,20
962,Reintroduced Community,20
963,Reintroduced Community,21
964,Reintroduced Community,22
966,Reintroduced Community,15
967,Reintroduced Community,15
968,Reintroduced Community,16
969,Reintroduced Community,16
970,Reintroduced Community,18
971,Reintroduced Community,18
973,Reintroduced Community,14
974,Reintroduced Community,15
975,Reintroduced Community,15
976,Reintroduced Community,15
977,Reintroduced Community,15
978,Reintroduced Community,16
979,Reintroduced Community,20
983,Reintroduced Community,16
984,Reintroduced Community,16
985,Reintroduced Community,16
986,Reintroduced Community,17
987,Reintroduced Community,17
988,Reintroduced Community,18
993,Reintroduced Community,13
994,Reintroduced Community,15
995,Reintroduced Community,16
996,Reintroduced Community,17
997,Reintroduced Community,18
998,Reintroduced Community,18
999,Reintroduced Community,20
1000,Reintroduced Community,20
1003,Reintroduced Community,16
1004,Reintroduced Community,17
1005,Reintroduced Community,17
1006,Reintroduced Community,17
1007,Reintroduced Community,18
1008,Reintroduced Community,20
1009,Reintroduced Community,21
1012,Reintroduced Community,15
1013,Reintroduced Community,15
1014,Reintroduced Community,16
1015,Reintroduced Community,17
1016,Reintroduced Community,17
1017,Reintroduced Community,18
1018,Reintroduced Community,20
1022,Reintroduced Community,16
1023,Reintroduced Community,20
1024,Reintroduced Community,20
1025,Reintroduced Community,20
1031,Reintroduced Community,17
1032,Reintroduced Community,17
1033,Reintroduced Community,17
1034,Reintroduced Community,17
1035,Reintroduced Community,18
1039,Reintroduced Community,15
1040,Reintroduced Community,16
1041,Reintroduced Community,16
1042,Reintroduced Community,17
1043,Reintroduced Community,20
1044,Reintroduced Community,22
1047,Reintroduced Community,15
1048,Reintroduced Community,16
1049,Reintroduced Community,17
1050,Reintroduced Community,17
1051,Reintroduced Community,17
1052,Reintroduced Community,20
1053,Reintroduced Community,21
1054,Reintroduced Community,21
1056,Reintroduced Community,13
1057,Reintroduced Community,15
1058,Reintroduced Community,16
1059,Reintroduced Community,16
1060,Reintroduced Community,18
1061,Reintroduced Community,18
1065,Reintroduced Community,15
1066,Reintroduced Community,15
1067,Reintroduced Community,15
1068,Reintroduced Community,16
1069,Reintroduced Community,16
1070,Reintroduced Community,17
1071,Reintroduced Community,17
1075,Reintroduced Community,15
1076,Reintroduced Community,16
1077,Reintroduced Community,17
1078,Reintroduced Community,17
1079,Reintroduced Community,17
1080,Reintroduced Community,18
1085,Reintroduced Community,14
1086,Reintroduced Community,14
1087,Reintroduced Community,15
1088,Reintroduced Community,15
1089,Reintroduced Community,15
1090,Reintroduced Community,16
1091,Reintroduced Community,18
1092,Reintroduced Community,21
1094,Reintroduced Community,15
1095,Reintroduced Community,16
1096,Reintroduced Community,16
1097,Reintroduced Community,17
1098,Reintroduced Community,17
1099,Reintroduced Community,17
1100,Reintroduced Community,18
1101,Reintroduced Community,19
1102,Reintroduced Community,20
1105,Reintroduced Community,14
1106,Reintroduced Community,16
1107,Reintroduced Community,17
1108,Reintroduced Community,17
1109,Reintroduced Community,18
1110,Reintroduced Community,18
1111,Reintroduced Community,21
1115,Reintroduced Community,15
1116,Reintroduced Community,16
1117,Reintroduced Community,16
1118,Reintroduced Community,16
1119,Reintroduced Community,17
1120,Reintroduced Community,18
1121,Reintroduced Community,19
1122,Reintroduced Community,20
1124,Reintroduced Community,15
1125,Reintroduced Community,16
1126,Reintroduced Community,16
1127,Reintroduced Community,16
1128,Reintroduced Community,16
1129,Reintroduced Community,17
1130,Reintroduced Community,20
1131,Reintroduced Community,21
1134,Reintroduced Community,15
1135,Reintroduced Community,15
1136,Reintroduced Community,16
1137,Reintroduced Community,16
1138,Reintroduced Community,17
1139,Reintroduced Community,18
1140,Reintroduced Community,19
1141,Reintroduced Community,21
1142,Reintroduced Community,24
1143,Reintroduced Community,15
1144,Reintroduced Community,16
1145,Reintroduced Community,16
1146,Reintroduced Community,17
1147,Reintroduced Community,18
1148,Reintroduced Community,19
1149,Reintroduced Community,24
1152,Reintroduced Community,13
1153,Reintroduced Community,15
1154,Reintroduced Community,16
1155,Reintroduced Community,16
1156,Reintroduced Community,16
1157,Reintroduced Community,17
1158,Reintroduced Community,21
1161,Reintroduced Community,15
1162,Reintroduced Community,16
1163,Reintroduced Community,16
1164,Reintroduced Community,16
1165,Reintroduced Community,18
1166,Reintroduced Community,18
1167,Reintroduced Community,19
1168,Reintroduced Community,23
1169,Reintroduced Community,23
1171,Reintroduced Community,15
1172,Reintroduced Community,16
1173,Reintroduced Community,16
1174,Reintroduced Community,16
1175,Reintroduced Community,16
1176,Reintroduced Community,17
1177,Reintroduced Community,23
1178,Reintroduced Community,24
1179,Reintroduced Community,25
1181,Reintroduced Community,16
1182,Reintroduced Community,17
1183,Reintroduced Community,17
1184,Reintroduced Community,17
1185,Reintroduced Community,18
1186,Reintroduced Community,19
1187,Reintroduced Community,19
1191,Reintroduced Community,15
1192,Reintroduced Community,15
1193,Reintroduced Community,16
1194,Reintroduced Community,17
1195,Reintroduced Community,17
1196,Reintroduced Community,18
1197,Reintroduced Community,20
1198,Reintroduced Community,21
1199,Reintroduced Community,22
1200,Reintroduced Community,23
1202,Reintroduced Community,15
1203,Reintroduced Community,16
1204,Reintroduced Community,16
1205,Reintroduced Community,17
1206,Reintroduced Community,17
1207,Reintroduced Community,17
1208,Reintroduced Community,18
